attendance_id,student_id,course_id,class_date,status
1,1,7,2025-03-12,Present
2,1,7,2025-03-25,Absent
3,1,7,2025-01-01,Present
4,1,7,2025-02-23,Present
5,1,7,2025-03-24,Absent
6,1,7,2025-02-07,Absent
7,1,7,2025-03-16,Absent
8,1,7,2025-01-21,Present
9,1,7,2025-01-23,Present
10,1,7,2025-02-02,Absent
11,1,6,2025-01-06,Absent
12,1,6,2025-01-24,Present
13,1,6,2025-03-07,Absent
14,1,6,2025-01-18,Absent
15,1,6,2025-01-26,Absent
16,1,6,2025-02-01,Absent
17,1,6,2025-02-10,Absent
18,1,6,2025-01-22,Present
19,1,6,2025-02-14,Absent
20,1,6,2025-03-19,Absent
21,1,10,2025-03-18,Present
22,1,10,2025-03-03,Absent
23,1,10,2025-01-11,Present
24,1,10,2025-02-19,Present
25,1,10,2025-01-20,Absent
26,1,10,2025-01-28,Present
27,1,10,2025-02-15,Absent
28,1,10,2025-02-04,Present
29,1,10,2025-02-10,Absent
30,1,10,2025-03-25,Absent
31,1,8,2025-01-24,Present
32,1,8,2025-01-21,Absent
33,1,8,2025-03-22,Present
34,1,8,2025-02-11,Absent
35,1,8,2025-03-22,Present
36,1,8,2025-02-04,Absent
37,1,8,2025-01-20,Present
38,1,8,2025-02-20,Absent
39,1,8,2025-01-25,Absent
40,1,8,2025-01-24,Present
41,1,2,2025-01-24,Present
42,1,2,2025-01-09,Present
43,1,2,2025-03-06,Absent
44,1,2,2025-01-12,Absent
45,1,2,2025-03-19,Present
46,1,2,2025-03-20,Present
47,1,2,2025-03-07,Present
48,1,2,2025-02-20,Present
49,1,2,2025-02-14,Absent
50,1,2,2025-02-26,Present
51,2,10,2025-01-04,Absent
52,2,10,2025-01-16,Absent
53,2,10,2025-01-07,Present
54,2,10,2025-01-27,Present
55,2,10,2025-02-21,Present
56,2,10,2025-02-01,Present
57,2,10,2025-02-13,Absent
58,2,10,2025-01-25,Present
59,2,10,2025-01-20,Present
60,2,10,2025-02-24,Absent
61,2,1,2025-02-14,Present
62,2,1,2025-02-21,Absent
63,2,1,2025-02-04,Absent
64,2,1,2025-02-15,Absent
65,2,1,2025-02-17,Absent
66,2,1,2025-03-13,Absent
67,2,1,2025-01-11,Absent
68,2,1,2025-01-08,Absent
69,2,1,2025-02-02,Absent
70,2,1,2025-03-17,Absent
71,2,3,2025-03-28,Absent
72,2,3,2025-01-21,Present
73,2,3,2025-03-11,Absent
74,2,3,2025-03-13,Absent
75,2,3,2025-03-20,Present
76,2,3,2025-03-16,Absent
77,2,3,2025-01-23,Absent
78,2,3,2025-02-22,Absent
79,2,3,2025-02-28,Present
80,2,3,2025-01-09,Present
81,2,2,2025-02-25,Present
82,2,2,2025-03-14,Present
83,2,2,2025-03-10,Absent
84,2,2,2025-03-29,Absent
85,2,2,2025-01-08,Absent
86,2,2,2025-03-02,Present
87,2,2,2025-01-20,Present
88,2,2,2025-02-20,Absent
89,2,2,2025-02-17,Present
90,2,2,2025-02-27,Absent
91,2,7,2025-02-11,Present
92,2,7,2025-03-22,Absent
93,2,7,2025-03-15,Absent
94,2,7,2025-01-24,Absent
95,2,7,2025-01-13,Absent
96,2,7,2025-02-11,Absent
97,2,7,2025-03-07,Absent
98,2,7,2025-01-24,Present
99,2,7,2025-02-23,Absent
100,2,7,2025-02-24,Present
101,3,8,2025-03-15,Present
102,3,8,2025-03-24,Absent
103,3,8,2025-03-27,Present
104,3,8,2025-03-06,Present
105,3,8,2025-03-24,Present
106,3,8,2025-01-27,Present
107,3,8,2025-02-03,Present
108,3,8,2025-01-07,Present
109,3,8,2025-03-20,Absent
110,3,8,2025-01-11,Present
111,3,4,2025-03-19,Present
112,3,4,2025-03-03,Present
113,3,4,2025-01-25,Present
114,3,4,2025-02-01,Present
115,3,4,2025-03-26,Present
116,3,4,2025-01-31,Absent
117,3,4,2025-01-04,Absent
118,3,4,2025-03-06,Present
119,3,4,2025-02-05,Absent
120,3,4,2025-02-23,Absent
121,3,6,2025-03-13,Present
122,3,6,2025-02-04,Present
123,3,6,2025-01-17,Absent
124,3,6,2025-03-11,Present
125,3,6,2025-01-06,Present
126,3,6,2025-03-07,Absent
127,3,6,2025-03-03,Absent
128,3,6,2025-01-23,Present
129,3,6,2025-02-17,Absent
130,3,6,2025-02-25,Present
131,3,3,2025-01-25,Present
132,3,3,2025-03-17,Present
133,3,3,2025-01-20,Present
134,3,3,2025-01-25,Present
135,3,3,2025-01-20,Present
136,3,3,2025-02-05,Absent
137,3,3,2025-03-28,Absent
138,3,3,2025-03-28,Absent
139,3,3,2025-01-12,Absent
140,3,3,2025-01-20,Present
141,3,5,2025-01-31,Absent
142,3,5,2025-03-06,Absent
143,3,5,2025-02-28,Absent
144,3,5,2025-02-03,Present
145,3,5,2025-02-01,Present
146,3,5,2025-03-11,Absent
147,3,5,2025-01-23,Present
148,3,5,2025-03-26,Present
149,3,5,2025-03-13,Present
150,3,5,2025-02-21,Absent
151,4,6,2025-01-23,Absent
152,4,6,2025-01-23,Absent
153,4,6,2025-03-02,Absent
154,4,6,2025-01-05,Present
155,4,6,2025-01-08,Present
156,4,6,2025-01-15,Present
157,4,6,2025-01-04,Present
158,4,6,2025-02-27,Absent
159,4,6,2025-01-04,Absent
160,4,6,2025-02-23,Absent
161,4,7,2025-02-17,Present
162,4,7,2025-03-18,Present
